iter	RMSE
0	1.191082911
1	1.18346704
2	1.174711662
3	1.16802354
4	1.157980867
5	1.150664138
6	1.143275888
7	1.128136994
8	1.120480419
9	1.111549794
10	1.099559506
11	1.091973383
12	1.084248524
13	1.078529678
14	1.071934893
15	1.064746412
16	1.058320558
17	1.053663191
18	1.047498088
19	1.042902277
20	1.038175593
21	1.030874106
22	1.025804217
23	1.021576575
24	1.017162901
25	1.012010002
26	1.006685744
27	1.001643895
28	0.9963271815
29	0.9917785301
30	0.9860338276
31	0.9815256045
32	0.9755306237
33	0.971141914
34	0.9674378149
35	0.9630295312
36	0.9593919425
37	0.9549521972
38	0.9502001863
39	0.945316377
40	0.9412274014
41	0.9380860424
42	0.9344234807
43	0.9316871852
44	0.9292929365
45	0.9260250431
46	0.9214677374
47	0.9212173163
48	0.9198222918
49	0.9178019087
50	0.9170043838
51	0.9124873235
52	0.908917976
53	0.9051587896
54	0.9018248573
55	0.8981011919
56	0.8953837926
57	0.8915931802
58	0.8880099569
59	0.8845754101
60	0.8815762415
61	0.8783347071
62	0.8751175735
63	0.8715115321
64	0.8686375981
65	0.8652302317
66	0.8619146083
67	0.8597089156
68	0.8563280325
69	0.852676933
70	0.8524746207
71	0.8519909264
72	0.8499369675
73	0.8472705029
74	0.8438094895
75	0.8392134158
76	0.8389947321
77	0.8359276131
78	0.835218547
79	0.8339646553
80	0.8300384195
81	0.8291839039
82	0.825820476
83	0.8251968219
84	0.8232017176
85	0.8227042516
86	0.8221464016
87	0.8214851865
88	0.8182207084
89	0.8140172923
90	0.8137426089
91	0.8100057666
92	0.8089798032
93	0.806701924
94	0.8035462012
95	0.8033433619
96	0.8004389572
97	0.8001127978
98	0.7976116027
99	0.7948559669
100	0.7935879408
101	0.790107185
102	0.7894174977
103	0.786569436
104	0.7858984602
105	0.7828074168
106	0.7824072124
107	0.7818596558
108	0.77924244
109	0.7757798431
110	0.7732709453
111	0.7731333974
112	0.7701038158
113	0.7672769871
114	0.7652051002
115	0.765006788
116	0.7646599206
117	0.7623404231
118	0.762217965
119	0.7596113082
120	0.7574646694
121	0.7549446899
122	0.7521100616
123	0.7502534342
124	0.749802186
125	0.749273497
126	0.7465917025
127	0.7443213425
128	0.7409163853
129	0.7406629898
130	0.7375823612
131	0.7373231054
132	0.7360925249
133	0.7356701477
134	0.7335208906
135	0.7316894733
136	0.7305769985
137	0.7303561649
138	0.730221608
139	0.7300063331
140	0.7268359259
141	0.7265516023
142	0.7239897691
143	0.7219830651
144	0.719910704
145	0.7184480495
146	0.7175038807
147	0.7174122191
148	0.7147339331
149	0.7143850196
150	0.7141342433
151	0.7140439672
152	0.7124747144
153	0.7107837993
154	0.7105551558
155	0.7101845591
156	0.7097626929
157	0.7075283858
158	0.7074410414
159	0.705600525
160	0.705413642
161	0.7051068243
162	0.7042284083
163	0.7038957003
164	0.7037861265
165	0.702491074
166	0.7018248078
167	0.701688114
168	0.6994095251
169	0.6992670197
170	0.6965363854
171	0.694430501
172	0.6920717883
173	0.6898301895
174	0.6883948698
175	0.6861748367
176	0.686066955
177	0.6837741708
178	0.6835855736
179	0.6818126039
180	0.6798847235
181	0.6786903398
182	0.6783951462
183	0.6756494122
184	0.6736814259
185	0.6735751996
186	0.6717548523
187	0.6716573999
188	0.6715640014
189	0.6713339625
190	0.6712149576
191	0.6690477135
192	0.6674123818
193	0.6667882743
194	0.6647760282
195	0.664625948
196	0.6645205145
197	0.662726267
198	0.6616581717
199	0.661567789
200	0.6591645291
201	0.6565791635
202	0.654028525
203	0.6534955209
204	0.6523076372
205	0.6518540019
206	0.6518162602
207	0.6517222618
208	0.6515996312
209	0.6514963413
210	0.6514106653
211	0.6509737692
212	0.6491141921
213	0.649039942
214	0.6489340224
215	0.6487200408
216	0.6486125655
217	0.648530844
218	0.6484295558
219	0.6482905054
220	0.6482116023
221	0.6481779999
222	0.6478736925
223	0.6460973968
224	0.6449596034
225	0.6448529247
226	0.643538648
227	0.643313356
228	0.6430673922
229	0.6410077429
230	0.6390079334
231	0.6389226327
232	0.6377782734
233	0.6370168467
234	0.6355497156
235	0.6333147123
236	0.6311816189
237	0.6310147885
238	0.6309859279
239	0.6305915634
240	0.6288381848
241	0.6285845198
242	0.6268518128
243	0.6252988851
244	0.6234933699
245	0.621529654
246	0.6198135196
247	0.6178255122
248	0.6177823809
249	0.6159484342
250	0.6152939829
251	0.6151160091
252	0.6135190977
253	0.613452827
254	0.6133839904
255	0.613180475
256	0.6117579524
257	0.6117237484
258	0.6116797911
259	0.6113836664
260	0.6113005808
261	0.6097684641
262	0.6080463676
263	0.6063916514
264	0.6062822497
265	0.6047488279
266	0.6046382935
267	0.6039984608
268	0.6038305731
269	0.6019427592
270	0.6018532791
271	0.6018382138
272	0.6008004521
273	0.6006329265
274	0.6005343033
275	0.5999703838
276	0.599918411
277	0.5998913301
278	0.5993602547
279	0.5992663729
280	0.5976975878
281	0.5968561194
282	0.5964181234
283	0.5963418734
284	0.5946835568
285	0.59379645
286	0.5936047132
287	0.5928513259
288	0.5927530861
289	0.5911856086
290	0.5893168125
291	0.5872466879
292	0.58594576
293	0.5858852225
294	0.585185007
295	0.5839963852
296	0.5818521539
297	0.5805639622
298	0.579840396
299	0.5787343801
300	0.5770603019
301	0.5770333652
302	0.5756562764
303	0.5753058927
304	0.5732071177
305	0.5718972168
306	0.5702582524
307	0.5699570424
308	0.5679692114
309	0.5679183322
310	0.5670632209
311	0.5670193864
312	0.5669713436
313	0.5669624794
314	0.5651370898
315	0.5644227975
316	0.5627768517
317	0.5624425218
318	0.5609307047
319	0.5608529858
320	0.5607569609
321	0.5605790707
322	0.5605209891
323	0.5605116488
324	0.5591578028
325	0.5582067144
326	0.5575349065
327	0.557345925
328	0.5564784638
329	0.5555527265
330	0.5538531945
331	0.5537872457
332	0.5530763766
333	0.551407141
334	0.5493737518
335	0.5487269147
336	0.5486146254
337	0.5478020553
338	0.54559602
339	0.5442340572
340	0.5441070986
341	0.543958548
342	0.5424832301
343	0.5404306371
344	0.5396706815
345	0.5376423788
346	0.5375823973
347	0.5374103003
348	0.5355593912
349	0.5341220093
350	0.5340547993
351	0.5324642339
352	0.5324074089
353	0.5305405276
354	0.5302162704
355	0.5292856369
356	0.5279373679
357	0.5260096605
358	0.5244626016
359	0.5243821698
360	0.5228735231
361	0.5208974935
362	0.5199110943
363	0.5198829924
364	0.5198331151
365	0.518853552
366	0.5187245291
367	0.5165602924
368	0.514364042
369	0.5142229929
370	0.5127687485
371	0.5114679837
372	0.5098258818
373	0.5081309775
374	0.5068182085
375	0.5065950285
376	0.50653591
377	0.5051061508
378	0.5050798638
379	0.5050403328
380	0.5042472955
381	0.5041613014
382	0.5041473564
383	0.5033666463
384	0.5032147445
385	0.5016055336
386	0.5011329438
387	0.5004554784
388	0.498535519
389	0.4977366802
390	0.4973318879
391	0.4955891179
392	0.4955744302
393	0.4954400522
394	0.4944249698
395	0.4943301463
396	0.4942708095
397	0.4940361556
398	0.4929704421
399	0.4929332368
400	0.4928274596
401	0.4919306254
402	0.4919228681
403	0.491866933
404	0.4902272948
405	0.4895797941
406	0.4894541876
407	0.4889322409
408	0.4869257576
409	0.4868772243
410	0.485871019
411	0.4858182527
412	0.4843725017
413	0.4842750259
414	0.4835026953
415	0.4819975929
416	0.4800452709
417	0.4796075294
418	0.4795900474
419	0.4777629362
420	0.4768150514
421	0.4761289271
422	0.4761229192
423	0.4761096692
424	0.4760975238
425	0.4760239143
426	0.4745337956
427	0.4732137588
428	0.4716207064
429	0.4714690726
430	0.471357942
431	0.4712068681
432	0.4701567947
433	0.4683308301
434	0.4676581743
435	0.4658062259
436	0.4657212399
437	0.4648077368
438	0.4635228637
439	0.4623618385
440	0.4623153748
441	0.4618452239
442	0.4605259232
443	0.4603741997
444	0.4590730499
445	0.4587288408
446	0.4582230637
447	0.4567778319
448	0.4566562712
449	0.4558504631
450	0.4549814802
451	0.4541570939
452	0.453150385
453	0.453130026
454	0.4531048068
455	0.4520300439
456	0.4507180725
457	0.4506281494
458	0.4494827764
459	0.4492947553
460	0.4476711881
461	0.4474589464
462	0.4468407973
463	0.4459233738
464	0.4459152034
465	0.4447727223
466	0.4433555338
467	0.4428078229
468	0.442459079
469	0.4408919463
470	0.4399045377
471	0.4395528572
472	0.4395000896
473	0.4393478085
474	0.438646318
475	0.4375141733
476	0.4367461737
477	0.4362552242
478	0.4352722669
479	0.4344136228
480	0.434363018
481	0.4342729832
482	0.4341775067
483	0.4329527928
484	0.4327950411
485	0.4327455484
486	0.4320334531
487	0.4317353535
488	0.4310246718
489	0.4295979527
490	0.4295384416
491	0.4294640645
492	0.4294057901
493	0.4287343927
494	0.4273744495
495	0.4266618504
496	0.4258261364
497	0.4256731712
498	0.4251648493
499	0.4249282945
