iter	Passed	Remaining
0	21	10515
1	36	9135
2	54	8958
3	74	9184
4	92	9141
5	112	9293
6	129	9152
7	149	9165
8	162	8885
9	177	8692
10	190	8459
11	203	8271
12	219	8236
13	231	8019
14	243	7857
15	254	7699
16	267	7592
17	279	7478
18	291	7382
19	306	7346
20	318	7265
21	329	7169
22	341	7081
23	355	7045
24	368	6993
25	380	6934
26	392	6880
27	405	6837
28	416	6771
29	428	6706
30	440	6658
31	451	6605
32	465	6593
33	480	6591
34	493	6562
35	508	6556
36	520	6513
37	533	6486
38	545	6442
39	560	6449
40	573	6420
41	585	6380
42	600	6381
43	612	6348
44	623	6307
45	642	6339
46	656	6330
47	673	6345
48	689	6344
49	705	6347
50	718	6326
51	732	6310
52	746	6293
53	761	6288
54	776	6285
55	787	6243
56	799	6212
57	811	6180
58	823	6156
59	836	6133
60	848	6107
61	861	6088
62	874	6065
63	887	6048
64	901	6031
65	914	6012
66	927	5995
67	939	5969
68	949	5931
69	963	5919
70	975	5895
71	988	5878
72	1002	5861
73	1014	5839
74	1026	5819
75	1041	5809
76	1054	5791
77	1069	5786
78	1082	5769
79	1095	5753
80	1112	5756
81	1126	5740
82	1139	5724
83	1151	5702
84	1164	5686
85	1177	5669
86	1189	5645
87	1201	5624
88	1217	5623
89	1229	5603
90	1242	5584
91	1254	5563
92	1265	5536
93	1276	5512
94	1288	5494
95	1300	5474
96	1314	5459
97	1326	5443
98	1341	5434
99	1353	5414
100	1365	5393
101	1377	5373
102	1388	5350
103	1402	5338
104	1414	5321
105	1427	5304
106	1439	5286
107	1452	5270
108	1464	5254
109	1564	5545
110	1579	5536
111	1597	5532
112	1615	5532
113	1628	5514
114	1643	5502
115	1655	5480
116	1670	5468
117	1684	5453
118	1698	5438
119	1712	5421
120	1724	5402
121	1738	5386
122	1750	5365
123	1767	5358
124	1781	5343
125	1793	5322
126	1805	5304
127	1821	5292
128	1832	5270
129	1844	5250
130	1859	5236
131	1866	5202
132	1877	5182
133	1889	5162
134	1902	5142
135	1916	5129
136	1931	5116
137	1944	5101
138	1961	5093
139	1977	5085
140	1997	5085
141	2011	5071
142	2029	5067
143	2046	5060
144	2067	5061
145	2085	5055
146	2100	5044
147	2121	5045
148	2136	5033
149	2150	5016
150	2167	5010
151	2175	4979
152	2190	4968
153	2204	4953
154	2220	4942
155	2235	4929
156	2249	4914
157	2265	4903
158	2281	4892
159	2295	4877
160	2308	4861
161	2321	4844
162	2335	4828
163	2347	4809
164	2362	4797
165	2377	4782
166	2391	4768
167	2405	4752
168	2426	4752
169	2442	4741
170	2457	4728
171	2470	4711
172	2482	4692
173	2496	4677
174	2510	4662
175	2525	4648
176	2541	4637
177	2556	4625
178	2571	4611
179	2585	4597
180	2600	4582
181	2614	4568
182	2628	4553
183	2643	4539
184	2657	4525
185	2671	4510
186	2689	4501
187	2705	4489
188	2721	4477
189	2737	4466
190	2752	4453
191	2766	4437
192	2781	4423
193	2795	4409
194	2811	4396
195	2824	4381
196	2840	4369
197	2846	4340
198	2860	4327
199	2865	4298
200	2880	4284
201	2895	4270
202	2908	4255
203	2923	4241
204	2940	4231
205	2954	4216
206	2968	4201
207	2983	4187
208	2997	4173
209	3012	4160
210	3025	4143
211	3037	4125
212	3050	4109
213	3063	4093
214	3074	4075
215	3087	4059
216	3099	4042
217	3113	4027
218	3125	4010
219	3137	3993
220	3150	3977
221	3154	3949
222	3164	3931
223	3175	3913
224	3187	3896
225	3198	3878
226	3208	3859
227	3219	3841
228	3230	3822
229	3241	3805
230	3252	3787
231	3263	3770
232	3276	3754
233	3286	3735
234	3297	3718
235	3308	3701
236	3321	3685
237	3334	3671
238	3348	3656
239	3370	3651
240	3382	3634
241	3395	3619
242	3407	3603
243	3421	3589
244	3435	3576
245	3448	3561
246	3460	3544
247	3472	3528
248	3484	3512
249	3496	3496
250	3507	3479
251	3522	3466
252	3537	3453
253	3579	3466
254	3610	3468
255	3632	3462
256	3646	3447
257	3654	3427
258	3669	3414
259	3684	3400
260	3697	3385
261	3708	3369
262	3721	3353
263	3733	3337
264	3747	3323
265	3761	3308
266	3777	3296
267	3778	3271
268	3791	3255
269	3802	3239
270	3813	3222
271	3817	3199
272	3828	3183
273	3839	3167
274	3850	3150
275	3862	3134
276	3873	3118
277	3875	3095
278	3886	3078
279	3897	3062
280	3907	3045
281	3917	3028
282	3928	3012
283	3938	2995
284	3949	2979
285	3956	2960
286	3968	2945
287	3980	2929
288	3991	2914
289	4003	2898
290	4015	2884
291	4030	2871
292	4043	2856
293	4057	2842
294	4075	2831
295	4092	2820
296	4106	2806
297	4120	2792
298	4133	2778
299	4147	2764
300	4161	2751
301	4168	2732
302	4182	2719
303	4195	2704
304	4208	2690
305	4223	2677
306	4236	2663
307	4248	2648
308	4261	2634
309	4274	2619
310	4286	2604
311	4298	2589
312	4308	2574
313	4310	2553
314	4322	2538
315	4333	2523
316	4345	2508
317	4358	2494
318	4369	2479
319	4380	2463
320	4390	2448
321	4401	2432
322	4411	2417
323	4412	2397
324	4425	2382
325	4435	2367
326	4448	2353
327	4460	2339
328	4474	2325
329	4487	2311
330	4498	2296
331	4511	2283
332	4524	2269
333	4538	2255
334	4554	2243
335	4567	2229
336	4579	2214
337	4592	2201
338	4606	2187
339	4620	2174
340	4622	2155
341	4633	2140
342	4647	2127
343	4660	2113
344	4673	2099
345	4685	2085
346	4697	2071
347	4708	2056
348	4718	2041
349	4730	2027
350	4742	2013
351	4756	1999
352	4768	1985
353	4780	1971
354	4791	1956
355	4802	1942
356	4815	1929
357	4827	1914
358	4840	1901
359	4853	1887
360	4867	1874
361	4881	1861
362	4895	1847
363	4908	1834
364	4921	1820
365	4934	1806
366	4946	1792
367	4959	1779
368	4971	1764
369	4988	1752
370	5002	1739
371	5014	1725
372	5028	1712
373	5040	1698
374	5052	1684
375	5065	1670
376	5078	1656
377	5091	1643
378	5105	1630
379	5119	1616
380	5132	1603
381	5144	1589
382	5149	1573
383	5162	1559
384	5174	1545
385	5188	1532
386	5201	1518
387	5215	1505
388	5230	1492
389	5246	1479
390	5260	1466
391	5276	1453
392	5281	1437
393	5296	1424
394	5312	1412
395	5326	1398
396	5339	1385
397	5352	1371
398	5367	1358
399	5382	1345
400	5398	1332
401	5411	1319
402	5414	1303
403	5427	1289
404	5440	1276
405	5456	1263
406	5471	1250
407	5474	1234
408	5489	1221
409	5503	1208
410	5516	1194
411	5530	1181
412	5545	1168
413	5559	1154
414	5573	1141
415	5587	1128
416	5600	1114
417	5614	1101
418	5628	1088
419	5644	1075
420	5660	1062
421	5675	1049
422	5678	1033
423	5683	1018
424	5687	1003
425	5701	990
426	5715	977
427	5731	964
428	5745	950
429	5758	937
430	5772	924
431	5788	911
432	5803	897
433	5818	884
434	5833	871
435	5849	858
436	5862	845
437	5885	833
438	5899	819
439	5919	807
440	5937	794
441	5953	781
442	5971	768
443	5989	755
444	6006	742
445	6025	729
446	6046	716
447	6066	704
448	6085	691
449	6102	678
450	6121	665
451	6137	651
452	6159	639
453	6179	626
454	6190	612
455	6206	598
456	6220	585
457	6233	571
458	6246	557
459	6264	544
460	6277	531
461	6290	517
462	6306	503
463	6319	490
464	6321	475
465	6335	462
466	6350	448
467	6365	435
468	6384	421
469	6396	408
470	6409	394
471	6422	380
472	6434	367
473	6448	353
474	6459	339
475	6471	326
476	6485	312
477	6497	299
478	6513	285
479	6531	272
480	6546	258
481	6562	245
482	6575	231
483	6586	217
484	6598	204
485	6610	190
486	6622	176
487	6634	163
488	6647	149
489	6666	136
490	6677	122
491	6693	108
492	6705	95
493	6717	81
494	6729	67
495	6741	54
496	6748	40
497	6759	27
498	6771	13
499	6783	0
